Type;Countries;Acronym;TW;CW;NEA;MED;BAL;BLA
EU Member States;Belgium;BE;1;1;1;;;
EU Member States;Bulgaria;BG;1;1;;;;1
EU Member States;Cyprus;CY;;1;;1;;
EU Member States;Germany;DE;1;1;1;;1;
EU Member States;Denmark;DK;;1;1;;1;
EU Member States;Estonia;EE;;1;;;1;
EU Member States;Greece;EL;1;1;;1;;
EU Member States;Spain;ES;1;1;1;1;;
EU Member States;Finland;FI;;1;;;1;
EU Member States;France;FR;1;1;1;1;;
EU Member States;Croatia;HR;1;1;;1;;
EU Member States;Ireland;IE;1;1;1;;;
EU Member States;Italy;IT;1;1;;1;;
EU Member States;Lithuania;LT;1;1;;;1;
EU Member States;Latvia;LV;1;1;;;1;
EU Member States;Malta;MT;;1;;1;;
EU Member States;Netherlands;NL;1;1;1;;;
EFTA Member States;Norway;NO;;1;1;;;
EU Member States;Poland;PL;1;1;;;1;
EU Member States;Portugal;PT;1;1;1;;;
EU Member States;Romania;RO;1;1;;;;1
EU Member States;Sweden;SE;;1;1;;1;
EU Member States;Slovenia;SI;;1;;1;;
former EU MS;United Kingdom;UK;1;1;1;;;